TID,VARIANT,JOIN_TIMESTAMP_DAY,MINUTES_IN_APP,SESSIONS,SEARCH_REVENUE,PROGRAMMATIC_REVENUE
e2e157f5757b0748,1,2017-05-24 00:00:00+00:00,249.5061167,21,0.00048,0.016194
e6225d10757eca8,0,2017-05-24 00:00:00+00:00,846.4996667,42,0.00048,0.040045
408147f89b0c511c,1,2017-05-24 00:00:00+00:00,16.99581667,3,0.00144,0.037965
4bdfa8b542de6580,0,2017-05-24 00:00:00+00:00,955.3740167,88,0.024,0.030811
d68b7398c4a0503b,1,2017-05-24 00:00:00+00:00,5.152966667,1,0.00144,0.000180
8eb1470b2d43f885,1,2017-05-24 00:00:00+00:00,195.1846833,29,0.00096,0.033169
1c324a3461299a7b,0,2017-05-24 00:00:00+00:00,13.36156667,1,0.00048,0.000015
c6027ddc29e7a569,1,2017-05-24 00:00:00+00:00,1.673716667,1,0,0.000060
beeeaf8e5f932cec,2,2017-05-24 00:00:00+00:00,15.23223333,1,0.00192,0.000390
20ff3acf007b8bc1,0,2017-05-24 00:00:00+00:00,80.6994,40,0.00096,0.000585
f023ee26920125bd,1,2017-05-24 00:00:00+00:00,12.34861667,1,0.00048,0.002259
3c842e32cd8bb694,2,2017-05-24 00:00:00+00:00,2.981116667,1,0.00048,0.000075
aaba5451e15cafa,2,2017-05-24 00:00:00+00:00,278.43745,50,0.01056,0.004276
9a57a9a0529ad506,1,2017-05-24 00:00:00+00:00,612.4634667,39,0.02016,0.010741
2493a55f6fd0e51d,1,2017-05-24 00:00:00+00:00,8.701683333,1,0.00096,0.000705
824509ffccfed43a,1,2017-05-24 00:00:00+00:00,18.095,8,0.00048,0.000218
177b36119ed0c230,2,2017-05-24 00:00:00+00:00,14.6656,1,0.00144,0.000465
bc213a990ec33885,1,2017-05-24 00:00:00+00:00,7.59845,3,0,0.000188
2fc89333456d8798,2,2017-05-24 00:00:00+00:00,581.4756667,83,0,0.104448
d2bd35e6b80bff89,0,2017-05-24 00:00:00+00:00,29.45458333,3,0,0.000399
3c2b5129228c5c74,2,2017-05-24 00:00:00+00:00,923.0696333,56,0.00432,0.019484
6bf4e7c4a19c33bc,1,2017-05-24 00:00:00+00:00,457.5567333,38,0.08928,0.035129
97599aed27125dab,1,2017-05-24 00:00:00+00:00,73.7536,13,0.00048,0.003608
15f0f5358d4adccf,2,2017-05-24 00:00:00+00:00,7.357333333,3,0.0072,0.000240
9c2c330e3826799f,0,2017-05-24 00:00:00+00:00,138.3354667,22,0,0.000884
545db5ef90d5348b,0,2017-05-24 00:00:00+00:00,40.42883333,11,0.00048,0.000432
a67db63b922df1e7,0,2017-05-24 00:00:00+00:00,3.944433333,1,0,0.000270
a884f2168fb11250,0,2017-05-24 00:00:00+00:00,28.47165,3,0.00288,0.012739
edaddc5d6a10efac,1,2017-05-24 00:00:00+00:00,2.353166667,1,0,0.000150
bde4c98eb6f242d,1,2017-05-24 00:00:00+00:00,15.65186667,3,0,0.000120
c5d38f28f8171589,2,2017-05-24 00:00:00+00:00,14.24673333,1,0.00048,0.001242
93b1c5598d339094,0,2017-05-24 00:00:00+00:00,11.62776667,1,0.00144,0.000525
9ea41239a4001136,2,2017-05-24 00:00:00+00:00,94.1731,7,0,0.013664
fe6ba11e35b8270a,1,2017-05-24 00:00:00+00:00,265.4600833,49,0.0048,0.025492
af2c00d9f1216e26,0,2017-05-24 00:00:00+00:00,19.49285,1,0.00096,0.001272
8de95a5798a0c582,0,2017-05-24 00:00:00+00:00,4.371433333,1,0,0.000030
266f65b87fe8e5f4,2,2017-05-24 00:00:00+00:00,22.84928333,2,0,0.012912
55f960f7f31e19d8,0,2017-05-24 00:00:00+00:00,2.441516667,1,0,0.000030
4507126c55c0bbfb,2,2017-05-24 00:00:00+00:00,379.36085,78,0.00528,0.011810
c57317a7645539d9,2,2017-05-24 00:00:00+00:00,696.1199333,111,0.00288,0.049871
589332caa02eefe4,2,2017-05-24 00:00:00+00:00,11.80305,2,0,0.000060
27fdf62ebdaf17fe,1,2017-05-24 00:00:00+00:00,22.51663333,1,0,0.000360
6eaea314093ceee5,0,2017-05-24 00:00:00+00:00,468.7542333,28,0.01056,0.104084
499a1bd02ec96dc,0,2017-05-24 00:00:00+00:00,5.795433333,1,0.00144,0.000195
d51e6e41c66259f9,1,2017-05-24 00:00:00+00:00,964.462,86,0.00048,0.139877
a59fa7d3148fcbfb,2,2017-05-24 00:00:00+00:00,753.8238833,115,0.00048,0.084808
aa0bc8b1308aa475,1,2017-05-24 00:00:00+00:00,23.40531667,5,0,0.000145
1defd2fdf049c63a,0,2017-05-24 00:00:00+00:00,1196.576533,115,0.05472,0.115847
cbb3155b657fc1f,0,2017-05-24 00:00:00+00:00,88.30006667,11,0.00048,0.022141
